Truth,Decoded
set blue in g five soon,a e i p i again
set green in o nine again,a e i p i again
lay white with f seven soon,a e i p i again
place blue at v two now,a e i p i again
place blue at p zero please,a e i p i again
place red in v six please,a e i p i again
place white by x nine soon,a e i p i again
set white in h seven soon,a e i p i again
lay blue with e five soon,a e i p i again
bin white with u two please,a e i p i again
place green by k eight please,a e i p i again
set green with q one again,a e i p i again
bin white with u three again,a e i p i again
set red by i one again,a e i p i again
lay white in e four now,a e i p i again
place red by d zero now,a e i p i again
set white at o five soon,a e i p i again
place blue with d zero please,a e i p i again
set red in n five soon,a e i p i again
place red at j zero now,a e i p i again
bin green in t five soon,a e i p i again
place red by j four now,a e i p i again
place white at d four please,a e i p i again
set green by j two please,a e i p i again
place red with q three soon,a e i p i again
set red at o one again,a e i p i again
place red at c six now,a e i p i again
lay blue in j seven soon,a e i p i again
set green by p seven again,a e i p i again
lay red by l three again,a e i p i again
place green with l two please,a e i p i again
bin green with o three soon,a e i p i again
place green in q two now,a e i p i again
place green with y eight now,a e i p i again
lay blue in q two please,a e i p i again
place blue at c two please,a e i p i again
set green at p zero now,a e i p i again
bin blue by s four now,a e i p i again
place green by y five soon,a e i p i again
place green in x six now,a e i p i again
place blue by i nine soon,a e i p i again
place blue in o seven again,by i n pagon
bin white at n one again,a e i p i again
bin green with h nine soon,a e i p i again
lay green with m six now,a e i p i again
lay white in l zero please,a e i p i again
bin blue at s two please,a e i p i again
bin white by t six now,a e i p i again
place white with y two now,a e i p i again
place red by d two please,a e i p i again
