Truth,Decoded
bin blue with t zero please,set e i i again
set white in u four now,set e i i again
lay green in l seven again,set e i i again
set blue with h seven soon,set e i i again
lay blue with e six please,set e i i again
set white at u nine soon,set e i i again
set white at b eight please,set e i i again
lay blue by k four now,set e i i again
lay blue by y two now,set e i i again
lay blue at q four now,set e i i again
lay white by s three again,set e i i again
bin blue by f seven soon,set e i i again
set blue with b five again,set e i i again
place white in j three soon,set e i i again
lay blue in d two now,set e i i again
lay green in r nine soon,set e i i again
lay red in q nine again,set e i i again
bin blue by z nine soon,set e i i again
set blue with h six now,set e i i again
place red at j two please,set e i i again
set blue at a six please,set e i i again
place white by y zero please,set e i i again
bin white with n nine again,set e i i again
place blue in v zero please,set e i i again
bin green by b one soon,set e i i again
lay white with s five soon,set e i i again
set green with d two please,set e i i again
place green by e two now,set e i i again
bin blue with s nine soon,set e i i again
bin white at a three again,set e i i again
place green in d four now,set e i i again
lay green with g five again,set e i i again
lay blue at k two please,set e i i again
set white by i seven again,set e i i again
set blue in n zero please,set e i i again
bin red in m one again,set e i i again
lay red with l six please,set e i i again
bin green in g seven soon,set e i i again
bin white with h five again,set e i i again
lay green with m eight please,set e i i again
bin blue in z two please,set e i i again
place red with j nine soon,set e i i again
lay red in k three soon,set e i i again
lay white by s zero now,set e i i again
set blue by n eight please,set e i i again
bin green in a three soon,set e i i again
bin red at f eight now,set e i i again
lay blue by r one again,set e i i again
set red with c one again,set e i i again
set blue at a seven again,set e i i again
