Truth,Decoded
place white with e two please,place white by p bin again
lay green by s six now,set red by p six again
lay green at z eight please,set white i p i again
lay red by r four now,a white by b five again
set green by p five soon,set green by p i soon
lay white with f six now,set green by p five again
lay red in e one again,set white i y i please
set red at b zero now,set green by p bin again
set red in a eight please,set white at s i again
lay white in l one again,lay white at t i please
place white with k seven again,place white by p i please
set white by v two now,set white by p bin now
lay green at l nine soon,lay green i e i soon
lay red in k five again,set white i c five again
lay blue in q zero now,set blue i u five again
place red in i six now,place white a s six soon
place blue in b six now,place blue i p six again
place white with e zero now,place white by b six again
set white with v six now,set white with p six again
place blue by v six now,place blue t v bin now
set blue with o three again,bin blue with t i soon
bin green in g nine again,place r i s i again
set blue with o zero now,bin blue with u i now
place red with d four now,place r with p five again
set green with p nine soon,set green with b i soon
bin green at n four now,place bin i u nine now
lay red in d eight now,bin white i s six again
set blue at t seven soon,set blue at s bin soon
set blue at a five soon,set blue t y i soon
set green with x three soon,set green with p e soon
place red with d six please,place white with v six please
place green with e eight please,place r with b i please
lay green by g zero please,set e at b i again
place blue at i five soon,place blue by f i soon
lay blue with e seven again,bin blue by u i again
lay white in r five again,lay white at c five again
place blue in i two please,place blue t u e soon
set red at u four please,set green i u e again
place white at q two please,place white a f e again
place green at e one again,place white i y i again
bin green with b five soon,lay blue with u one now
lay blue by y four please,set blue by y one now
bin white with b one again,bin white with p i please
set green by p four now,set green by p i again
bin red in l eight now,bin white at s i again
set red with i three soon,set e by p i soon
set green at i nine again,set green i a i again
set blue in g four now,set blue by u five now
place blue at c zero now,place bin by u two soon
place green in x eight please,place h i s i please
