Truth,Decoded
place blue at i six please,place blue at r seven please
place blue with d one again,place blue with v four please
set red in a six now,set white i d six soon
lay blue at x nine soon,lay blue at f six soon
place blue at o nine soon,place blue i y four soon
set white with v nine again,set white with v seven please
lay white at e eight now,lay white i s i now
bin red by t zero now,bin red by z set soon
lay red by r five soon,set white by p five soon
set green at v six please,lay green with d six please
bin white with n seven soon,bin blue with v zero soon
place blue in o six please,place blue i u set soon
bin white with h four please,bin white with v t soon
place blue by p two now,place blue by p t now
lay white in r two now,lay white at u two soon
place red with x nine again,place white with m six please
place red in c three soon,place red i s zero soon
lay blue with e four now,lay blue i u four again
place green with l three again,place e with v t please
bin red by m eight please,place r by p i please
set blue with b four please,set blue with b o please
bin blue in e nine soon,bin blue i d zero soon
bin blue at f five again,bin blue i f in again
lay white by z six please,set white at s six psoe
lay white in r three soon,lay white i c zero soon
lay red with f one soon,set h with v four soon
place green at y three again,place white with m one please
place blue by i eight now,place blue with p six now
lay white in r four please,bin white in r four please
set blue by n seven soon,set blue by b teie soon
lay white in y nine again,lay white i s set please
set green in v one soon,a green with v four soon
bin white by a six please,bin white by s six please
place white at d two now,place white at c t soon
place green in d five soon,place red with v e soon
set blue at n two now,set blue by q two again
place white in p six now,place red by p six soon
place green at k three soon,place blue i d zero soon
place green at y one soon,place green with y one soon
place green in j eight now,place e i j eight now
lay blue with r five again,lay blue at y one please
lay white with m zero now,set white at p four soon
lay green at s five again,set white i d five please
lay red with l seven again,lay white with u two soon
bin red with a two now,bin white with v t soon
set blue by u one soon,set blue a q four soon
lay red at r zero now,lay blue with s s now
lay red in e zero please,lay white i d zero soon
place blue with j two now,place blue with v two again
set white with v seven soon,bin r with v four soon
