Truth,Decoded
set white in b two now,set r with z two now
set white in o zero now,set white by z two now
lay white by l eight please,set e by y in please
lay red in k two now,lay white at s two now
bin red in l nine soon,place white at z i now
place blue in b nine again,place blue by b five please
lay green at s two now,set green i z two now
lay blue in x five soon,lay green i u two now
lay blue by r zero please,lay red at b i again
bin white by t seven soon,bin white by y i now
lay green with g two now,bin green with u i now
bin red by m seven soon,bin red by f e now
lay red in d nine soon,lay white a s i now
place red at j three again,place red at z two again
bin red with t six please,bin red i s i again
lay green in f one soon,set green i z o now
lay white at z one soon,lay white i u one now
set white in h six now,a e at s i now
lay green at f five soon,lay green i l one now
set blue in t three soon,bin green at u i soon
set green at p two please,set green i p bin again
place red with x seven soon,place red y p two soon
set white by v five again,set white a a bin again
set white in o three again,set white i g bin again
bin green at h zero now,bin blue with s two soon
bin green by o zero please,bin e with p nine now
set green in i two now,set green i z two now
lay white with m two please,bin white by p one again
lay blue by e three again,a blue by b i again
place red by j five soon,place e at t i now
set green with x four please,set green with p bin now
set blue in g six please,set blue i q bin again
bin white by n five again,bin white by p i please
set green with d zero now,set green with q two soon
place white in j two now,place red i s bin again
bin blue in l two now,lay blue by p i now
place blue by p three soon,place blue at p i now
place white by x eight now,lay white with p i now
place white with e three again,place red with q two again
bin white in t zero please,bin white at s six now
place green by r one soon,place r i y o now
lay blue with y six now,lay blue with b six again
bin red with n zero now,bin blue with p two now
set red at o zero please,set red at u bin again
place white at j seven soon,a white i s i soon
set green in b eight now,bin green with p six now
bin green in g six now,a blue with b bin again
lay white in y six now,set white by p two soon
set white at v zero please,set white at s two now
set white by o eight now,set white by p i now
