Truth,Decoded
set blue by h three soon,set blue by e zero soon
bin green at u one again,bin green in y one again
bin red at s nine again,bin white in t six again
set blue at n three soon,set blue i y four soon
set red by h eight now,set white by p six now
place green at k five again,place blue bin z seven please
lay green at z nine again,set white i e eight again
bin blue by s seven again,bin blue by l six please
bin red in s two now,bin white in e f now
lay blue in j nine again,set blue at u bin please
place green at q eight please,place green with u five please
lay white at l four please,lay white in o four please
place white at d five again,place white at g one please
place white with k six please,place blue at v six please
place green with e nine again,place white with i nine again
place white in x two please,place white a z two please
place red at c seven soon,place white a n zero soon
set white in b three soon,set white i m four soon
lay white at e nine soon,lay white in o zero soon
lay red by e eight please,at white in y six please
lay green with t two please,set white with v t please
place white by q four now,place white by p four now
place green with e six now,place h with u zero soon
lay white with f eight please,lay white with v i please
lay blue at d nine again,lay blue with c eight again
set red by b five soon,a bin by p four soon
bin white at g six please,bin white a c six please
place green in j nine soon,place green with g zero soon
lay green by s seven soon,lay green by z two soon
set green in v two please,set green with m f please
place red with q two now,place blue with u four now
place red by j six please,place blue by s six please
set white in b four please,set white at p four please
place green at q seven soon,place e i u zero soon
set green with j five soon,lay green with v e soon
bin red in s four please,bin white in e four please
place green with z zero please,place green with u two please
place red by q zero please,place white by p two soon
set blue at t nine again,set blue at c eight soon
set green at i six now,set green in e six please
bin red in z seven soon,set green with y zero soon
set red with v two please,lay blue with f four please
set blue by u zero now,set blue by u t again
lay white by z seven again,set white by b seven please
bin green by h seven again,bin white i p seige again
bin blue by f six now,bin blue i y six please
place blue with c nine soon,place blue with p bin soon
set green at c four please,set green at c four please
set red in h two please,bin white in u zero please
bin white at m nine soon,bin white in m in soon
