Truth,Decoded
bin blue with t zero please,lay r i j i again
set white in u four now,lay r i j i again
lay green in l seven again,lay r i j i again
set blue with h seven soon,lay bin i j i again
lay blue with e six please,lay bin i j i again
set white at u nine soon,lay r i j i again
set white at b eight please,lay r i j i again
lay blue by k four now,lay r i j i again
lay blue by y two now,lay r i j i again
lay blue at q four now,lay r i j i again
lay white by s three again,lay r i j i again
bin blue by f seven soon,lay bin i j i again
set blue with b five again,a r i j i again
place white in j three soon,a r i j i again
lay blue in d two now,lay r i j i again
lay green in r nine soon,lay r i j i again
lay red in q nine again,lay r i j i again
bin blue by z nine soon,lay bin i j i again
set blue with h six now,lay r i j i again
place red at j two please,a r i j i again
set blue at a six please,lay r i j i again
place white by y zero please,lay bin i j i again
bin white with n nine again,lay r i j i again
place blue in v zero please,lay bin i j i again
bin green by b one soon,lay r i j i again
lay white with s five soon,a bin i x i again
set green with d two please,lay r i j i again
place green by e two now,lay r i j i again
bin blue with s nine soon,lay bin i j i again
bin white at a three again,lay bin i j i again
place green in d four now,a r i x i again
lay green with g five again,lay r i j i again
lay blue at k two please,a r i j i again
set white by i seven again,lay r i j i again
set blue in n zero please,lay r i j i again
bin red in m one again,lay r i x i again
lay red with l six please,lay r i j i again
bin green in g seven soon,a bin i j i again
bin white with h five again,lay bin i j i again
lay green with m eight please,lay r i j i again
bin blue in z two please,a r i x i again
place red with j nine soon,a bin i j i again
lay red in k three soon,lay r i x i again
lay white by s zero now,lay r i p i again
set blue by n eight please,lay bin i j i again
bin green in a three soon,a r i j i again
bin red at f eight now,lay r i j i again
lay blue by r one again,lay r i j i again
set red with c one again,lay bin i j i again
set blue at a seven again,lay r i j i again
