Truth,Decoded
lay red at e two now,a e one
set red with i two now,a e one
bin blue at l eight please,a e one
lay green in s zero please,a e one
place white in p nine again,a e one
lay red at k eight please,a e one
lay red by z one again,a e one
set green in o eight please,a e one
set green with p eight now,a e one
lay blue with k eight now,a e one
bin red in z six now,a e one
bin red in s five again,a e one
bin white by g eight now,a e one
set green with j four now,a e one
place white with r zero please,a e one
lay blue by y three soon,a e one
place green by e three soon,a e one
lay blue in x six please,a e one
lay red with l five soon,a e one
bin blue with m five soon,a e one
set green at v five soon,a e one
set white with p four please,a e one
bin green with b seven again,a e one
set green in v zero now,a e one
lay white at z three again,a e one
bin red at f nine soon,a e one
bin white with h two now,a e one
set blue by a eight now,a e one
lay white with s four now,a e one
set green with j six please,a e one
bin white at a one soon,a e one
lay green in z three soon,a e one
lay blue with y eight please,a e one
bin green at h one soon,a e one
place green by y four now,a e one
lay red in k four please,a e one
set blue at n five again,a e one
bin red at m two now,a e one
set red with b nine soon,a e one
place white at j eight please,a e one
lay blue with r four please,a e one
place blue in u nine soon,a e one
set red by b seven again,a e one
set white in u six please,a e one
place green by y six please,a e one
bin green by b two please,a e one
place green at k four please,a e one
lay blue in d four please,a e one
set blue by n nine again,a e one
set green with d one soon,a e one
