Truth,Decoded
set blue with u six please,set blue with u s please
set red in t nine soon,lay white in z i soon
bin green with o four please,bin green with o four please
bin green in n three again,place blue with z set please
bin white at n zero please,bin white i f zero soon
bin white in m four now,bin white at u four now
lay white by s two please,set white by p t place
lay blue with r two now,lay blue i y t one
bin white with a eight now,place white i s i again
lay green at m one again,set red in y i please
bin blue in r eight please,bin blue in r i please
place red with x six now,place white with v set soon
bin red in f six please,place white by z six blue
bin white at t three soon,bin white a u t soon
bin green at h two please,bin blue i z two please
bin white at a two please,bin white in z t blue
place white at q zero now,place r at u four soon
set green at i seven soon,set green t z f soon
place blue with x one soon,i blue i s one soon
place red in p two please,place white by p two please
place red by p eight now,place r by p i now
place green with e seven soon,place green with v z soon
bin white with u one soon,bin white with u four soon
lay blue in q one soon,lay blue by u four soon
lay white in e seven again,set white i s six soon
lay green by m four please,set green i p four please
lay red at y five soon,set bin with p four soon
place blue by v seven soon,place blue by p six soon
bin white with u zero now,lay blue i m one soon
place blue at v three soon,place blue i f one soon
place blue by c seven again,place blue by z six please
set blue by u two please,set blue by z t blue
bin blue with m seven again,bin blue with u o please
lay blue in x four now,lay blue at u o soon
set white with p three soon,set white with p four soon
bin blue by m three again,bin blue by b one please
set red at b two please,set r at p four soon
lay red by e seven soon,lay white by p s soon
bin green with o five again,place blue with o o please
set white with j one again,set green with y four please
bin green at a eight please,bin blue i m i please
set white at b six now,set white with v six soon
set white by v three soon,set white by b four soon
lay red in y one soon,set white with y one soon
place red with q five again,place white i o o please
place red in c two now,place r by z four again
set red by o five again,set white by p t one
set white by c three again,set white by y s soon
place green by k seven soon,place blue by z zero soon
lay white at l two now,lay white in z t now
