Truth,Decoded
bin white with n eight please,bin white with p eight please
place blue at c one soon,place blue i u one soon
set white with i eight now,place white with y nine now
lay blue with r three soon,lay blue at u four soon
place red at j one soon,place blue a u four soon
place green in k zero please,place green with t zero please
set red in a seven soon,set white in t zero soon
bin blue in f zero please,bin blue at q zero please
bin green at n six please,blue green with s six please
set blue by h five again,set blue by b zero soon
place white by q six please,place white by p six please
set green at i eight please,set green in m six please
place blue with c eight now,place blue with u set soon
place white with y three soon,place white with u two soon
set green by j zero now,set green by g zero again
set green by v nine soon,set r with p set soon
set blue in a one soon,set blue i m four soon
bin blue by m one soon,bin blue by m four soon
bin green at u zero please,bin r in o zero please
lay white with f nine again,lay white with v eight again
place white in c nine soon,place white i z bin soon
bin green by b zero now,place blue bin p two again
place white in x zero now,bin white i z zero now
place green with z one again,place green with y one please
lay blue by q nine soon,lay blue by u zero soon
bin blue at s zero now,bin blue at t two one
place green with r five soon,place green with f five soon
lay blue in d three soon,lay blue i u zero soon
set white at o four now,set white t y four now
bin red at s seven soon,set blue i z zero soon
place blue with x three again,place blue i u zero please
bin red with n one soon,place white with m four soon
lay red with r eight now,lay blue with y eight now
set blue at g eight now,set blue i n eight now
bin green in a two now,bin white i t zero soon
bin blue with t one again,bin blue with y zero please
place blue with j five again,bin blue at u nine please
lay green with m nine again,lay blue with v eight please
lay red at r two please,set white in h zero please
place blue with p six now,place blue with c six soon
bin white by t eight please,bin blue t u six please
lay red at e four please,lay white with t f please
lay blue with y seven soon,lay blue i y seven soon
set green at v seven again,set green at z bin please
lay white in k eight now,set white a t set soon
bin red in z nine again,bin blue t p i please
place blue by v eight please,place blue i u five please
bin red with a five again,bin white with m five soon
place blue in i one soon,place blue i u four soon
lay red with s one again,lay white with y bin soon
