Truth,Decoded
set white in b two now,set white with q t soon
set white in o zero now,set white at q two now
lay white by l eight please,set white i y in again
lay red in k two now,lay white at c bin now
bin red in l nine soon,place white at x bin soon
place blue in b nine again,place blue by u i please
lay green at s two now,set green i c bin now
lay blue in x five soon,a green i u bin soon
lay blue by r zero please,lay blue at u one again
bin white by t seven soon,bin white by y e soon
lay green with g two now,bin blue i u o soon
bin red by m seven soon,bin red by y o soon
lay red in d nine soon,lay white i c i soon
place red at j three again,place r at q six soon
bin red with t six please,bin red with s six please
lay green in f one soon,set green i u four soon
lay white at z one soon,set white i u four soon
set white in h six now,bin white at c i soon
lay green at f five soon,lay green i m one soon
set blue in t three soon,a green at u t soon
set green at p two please,set green with p e please
place red with x seven soon,place red with p six soon
set white by v five again,set white a r five again
set white in o three again,set white i q six soon
bin green at h zero now,bin blue with s two soon
bin green by o zero please,bin r with p e please
set green in i two now,set green i c two soon
lay white with m two please,a white i p one please
lay blue by e three again,set blue by y six please
place red by j five soon,place e at u o soon
set green with x four please,set green with p four soon
set blue in g six please,set blue i q six please
bin white by n five again,bin white by p in please
set green with d zero now,set green with v six now
place white in j two now,place white i c bin again
bin blue in l two now,set blue i u e now
place blue by p three soon,place blue at p o soon
place white by x eight now,lay white with b five now
place white with e three again,place white with v six soon
bin white in t zero please,bin white at c six soon
place green by r one soon,place e by y one now
lay blue with y six now,lay blue with y six please
bin red with n zero now,place blue t q two soon
set red at o zero please,set r a q bin please
place white at j seven soon,place white i f six soon
set green in b eight now,set green with p six again
bin green in g six now,lay blue with p six again
lay white in y six now,set white i p bin now
set white at v zero please,set white at q two please
set white by o eight now,set white by p bin now
