Truth,Decoded
bin green with h eight now,a e i i now
lay green with a one again,a e i i now
place green in d seven again,a e i i now
set green at p three again,a e i i now
bin white with h three soon,a e i i now
set blue in t two now,a e i i now
bin blue by s six please,a e i i now
set red with v zero now,a e i i now
place blue by c six please,a e i i now
set red in n four now,a e i i now
bin white at t five again,a e i i now
lay white at r eight please,a e i i now
lay white at r nine again,a e i i now
lay green in z five again,a e i i now
bin white in g three again,a e i i now
bin white by n two now,a e i i now
bin green in n one soon,a e i i now
bin blue in l three soon,a e i i now
bin white in g one soon,a e i i now
lay green by s eight please,a e i i now
lay green at l eight now,a e i i now
bin green by h four now,a e i i now
bin blue at z four now,a e i i now
bin white in m five soon,a e i i now
set red in u one again,a e i i now
set blue with u five soon,a e i i now
bin red with a three soon,a e i i now
set green in c one again,a e i i now
lay white by l six now,a e i i now
set white by o nine soon,a e i i now
place white in p seven soon,a e i i now
set blue by h four please,e r i s now soon
set red by i zero please,a e i i now
set red at n nine soon,e r i s now soon
place white in x one soon,a e i i now
set white at i two please,a e i i now
place red in v four now,a e i i now
lay blue at d eight please,a e i i now
place green in d six please,a e i i now
bin green by n nine soon,a e i i now
place blue in i zero now,a e i i now
bin blue by f eight please,a e i i now
lay white at z zero now,a e i i now
set white in h nine again,a e i i now
lay green at z six now,a e i i now
place red by j seven again,a e i i now
place red with q four please,a e i i now
lay blue at y zero please,a e i i now
lay green by s nine again,a e i i now
set green by j one soon,a e i i now
