Truth,Decoded
bin red in z eight please,place blue at s i please
place white at q one soon,place white by u five now
set green in c zero please,set green i s six please
lay blue at x eight now,lay blue at s i now
bin green with b four now,place bin with b one please
set white by i six please,bin blue i b one please
place red by d one soon,place r by p e now
place green in q four please,place r with u five now
bin red by g two now,at e by y one now
lay white with m three again,lay white with m bin please
set green by x one again,set green by p bin please
place blue at v five again,place blue with m five again
lay red with z three soon,lay r with u one now
place red with j eight now,place white with q i now
place blue by v nine again,place blue by p six again
lay white at l three soon,set green by y i now
place white with k four now,place white with b one again
lay red with s zero please,lay white i u one now
bin blue with g three again,bin blue with q one please
set blue in n one again,set blue by y i again
place red in c five again,place white by s six again
lay white by f four please,lay white by m one please
bin red with t four now,place white with u one now
set white at b nine again,lay red at b six again
lay red with r nine soon,lay white by y i now
place white by d seven soon,place white by y i now
set blue at h zero please,set blue at f one now
place white in c eight now,place white at s i now
bin white by n three soon,bin white by y e now
bin green with i zero please,place r with x one please
bin green at h three again,place bin at s bin again
lay white by f two now,set red i m e now
set white by p one again,set white by y in please
bin white by h one again,bin white by f one now
place red in c four please,place white at u five please
place red at p four now,place r by p e now
place white with y five again,place white with b one please
bin blue at l six now,bin blue at q six soon
set red with o eight please,a e with u i please
lay green with a zero please,lay red i b one leaon
place green by e five again,place r t b in please
bin blue in r seven soon,bin blue i u e now
bin blue in z three again,bin blue with q bin please
place blue with j three soon,place blue at b e now
set green in o six now,set green i q six soon
set white at i zero now,lay red a z e now
bin green by h six please,bin r by s six please
bin blue in l five again,bin blue at f nine please
lay green by m two now,set green by b one now
place green by k nine again,place e y p six again
