Truth,Decoded
lay red by y nine soon,lay white by y i now
lay red with z two now,place white with b nine lnaon
lay green in z four please,lay r i u nine now
lay red by l zero now,set white by p bin now
lay white in e five soon,lay white i s five now
place blue at i seven again,place white by s bin again
set green in i four please,set green i u one now
set green at v four now,set e with p one now
lay blue by q eight now,set blue by b i now
place red with k zero please,place r t p bin now
lay red at r three again,set white i u five now
set red with v three again,lay white with q bin again
set green by p six please,set green with p five again
place red by x four please,place h by p nine lnasn
set blue by a nine soon,set blue by y i now
bin green by b three again,bin blue by p five please
lay red with z five again,lay white with g nine please
bin white in g zero now,bin white i s nine now
lay blue in j eight please,set blue bin q in please
set green by c six now,bin green i p six now
bin blue with s eight now,bin blue with p six now
bin green in g eight please,bin r i s in please
set blue in t four please,bin blue with b one now
bin white at g four now,bin white i u nine lnasn
place red at x zero please,place red i s nine now
set red with o six now,set r with q six now
place green in x seven soon,bin r i s i now
set green with x five again,lay red with q five now
bin red by g four please,bin white by y nine now
lay red with f three again,set blue with q bin now
set blue at g nine soon,set blue bin q six now
bin blue at f two now,set blue by p one now
lay green at f seven again,lay r i p nine please
set blue in a zero now,set blue at q bin now
lay red in y zero now,bin blue with q five nasn
lay blue by k six please,a e by p six please
place green by r three again,lay r y y in please
place blue at p one again,place blue by y in please
lay green at m zero please,set e i m nine lnasn
set green in b nine soon,set green with m five now
place white in p eight please,bin h by p in please
set white at i one soon,bin white i f one now
set red at h six please,set white i s bin again
lay blue with k nine soon,lay blue with q bin now
place green by r zero now,place bin by p i now
lay red with f zero now,place blue with q nine now
lay white in y eight please,lay white by y in please
set red at u three soon,set red i q one now
set white by i five soon,set white by p one now
set red at n eight now,set white in s six again
