Truth,Decoded
set blue by h three soon,set blue by q e soon
bin green at u one again,bin green i y one again
bin red at s nine again,bin white at c six again
set blue at n three soon,set blue i y four soon
set red by h eight now,set white by p six soon
place green at k five again,bin blue at z two soon
lay green at z nine again,set white i c set again
bin blue by s seven again,bin blue by k six please
bin red in s two now,bin white a z t now
lay blue in j nine again,set blue at u zero again
place green at q eight please,place blue i q r blue
lay white at l four please,lay white a o four please
place white at d five again,place white a c e soon
place white with k six please,place blue at v six soon
place green with e nine again,place white with t bin again
place white in x two please,place white a z two blue
place red at c seven soon,place white i n six soon
set white in b three soon,set white at m four soon
lay white at e nine soon,lay white in q zero soon
lay red by e eight please,lay white i p i please
lay green with t two please,lay green with v t please
place white by q four now,place white by p four now
place green with e six now,place e with v set soon
lay white with f eight please,lay white with v six please
lay blue at d nine again,lay blue with c set soon
set red by b five soon,set bin by p four soon
bin white at g six please,bin white a c six please
place green in j nine soon,place green with t zero soon
lay green by s seven soon,lay green by z two soon
set green in v two please,set green with v f soon
place red with q two now,place blue i q four now
place red by j six please,place blue by s six please
set white in b four please,set white t p four please
place green at q seven soon,place e with q four soon
set green with j five soon,lay green with f four soon
bin red in s four please,bin white a e e soon
place green with z zero please,place e with q two please
place red by q zero please,place white by p t soon
set blue at t nine again,set blue at c set soon
set green at i six now,set green with n six soon
bin red in z seven soon,set green with t zero soon
set red with v two please,set bin with v four please
set blue by u zero now,set blue by q t again
lay white by z seven again,set white by p seven soon
bin green by h seven again,bin white with p set soon
bin blue by f six now,bin blue i y bin leaon
place blue with c nine soon,bin green by p zero soon
set green at c four please,set green i c o please
set red in h two please,bin white in u zero soon
bin white at m nine soon,bin white i m in soon
