Truth,Decoded
place red with k one again,place blue i f one please
bin blue with g one soon,bin blue i u four soon
bin blue with g zero now,bin blue i u t soon
place white by k one soon,place white by y one soon
bin green by n eight now,place blue with p i soon
bin red with g six now,bin blue at c six soon
lay white in k nine soon,lay white at s bin soon
place white at x six please,place white i y bin seven
set white in h eight please,set white i s i please
bin blue at z seven again,bin blue i s i please
lay green at s four please,a green i t one please
set white in b five again,set white at p nine please
set blue in m eight now,bin blue i s i again
lay blue in q three again,lay blue bin u four please
lay red at k six now,set white i s set again
place blue in u eight now,place blue i u e now
set blue at t eight please,set blue at s i please
lay red at k seven soon,set white i z r soon
set white with v eight please,set white with u i please
place red with d seven again,place white i u e soon
bin red with t seven again,bin blue with p six soon
lay red in q eight please,set white in u i please
bin red with n three again,bin white with v e please
lay white with z eight now,place white i set again
lay red by l one soon,set e by f one soon
place blue at c three again,place blue i u t please
lay green in l five soon,lay green i f four soon
lay red at y seven again,set white i t in please
bin green in n zero now,bin h with z two now
set green in i five again,set green i f nine please
place blue by j zero please,place blue by u i please
place red by q one again,place blue by y one please
set green by c nine again,place green with p set please
set white by p zero please,set white i y one please
place blue at v four please,place blue with p four please
place white by q five soon,place white i f one soon
place blue with x zero now,place blue i t t again
place white with q eight now,place white with u i now
bin red by m six now,bin white by y set now
bin red by t two please,bin white by p s please
bin white at a zero now,bin white at d six again
bin white in m seven again,bin white at u e please
place red at p six please,place white i s i please
lay green in l four now,set white i t four again
set blue in t five again,set blue i t five please
set green with x two now,set green with t t again
place white with q nine soon,place blue at q four soon
place white with y four please,place white i u one soon
lay blue with l zero please,set blue i v t please
set green by c seven soon,lay green by s i soon
