Truth,Decoded
place red at p five soon,place red by p four soon
set red by b six please,set white by p six please
set blue in a three again,set blue i s i please
set red at u five again,set r t f four please
bin green by u five again,lay green with p one please
place green in x nine again,place blue i s set please
bin blue by m two please,bin blue i y five soon
set red by o four please,a green by p four soon
lay blue at k three again,lay blue at u one please
place white with e one soon,place r with o four soon
bin white by a four now,bin white by b one now
lay white with z nine soon,set white with p one now
lay blue at k zero now,set blue at s t soon
lay blue in j six now,lay blue at g set soon
set red at h seven again,bin e i s six please
place white at d three soon,place white a f four soon
bin white in s nine soon,bin white a s one soon
place blue in b seven soon,place blue i b four soon
set red in h zero now,bin white in u e soon
lay white with s seven again,lay white with p six please
bin red with g nine again,place bin t p one please
set green with j seven again,set green with q set again
set blue with h nine again,set blue i s six again
set green by j three again,set red by s e please
set white with p two now,set white with b four again
place white in j five again,place white at c one please
set green in o seven soon,set green in o four soon
bin white by h zero please,bin white by y i soon
lay red by e six now,set white by s six soon
place red at c eight please,place white i s six please
bin red at s eight please,set white by y i please
place green at y zero now,place r i y e again
lay red at k nine again,set white i s set please
bin blue at l seven soon,bin blue a q four soon
place blue at o eight now,place blue by y i now
place white at q three again,place white a q six again
place green with y nine soon,place white by s bin soon
place green by e four please,place green at b one please
lay white with m one soon,lay white i f four soon
lay blue by e two please,set blue by z four blue
lay white with s six please,set white with p six please
place green at d nine soon,set green i z i soon
lay white at z two please,lay white a q four blue
place blue by p five again,place blue i y one please
bin red by a zero please,place white by y i one
place red in v five soon,place white with p five soon
place white in d zero please,place white by s set please
place white at x four now,place white by y one again
place red by p nine soon,place white by p six soon
bin white in s eight now,bin white at s set again
