Truth,Decoded
set blue with u six please,set blue with v e please
set red in t nine soon,lay white i z two soon
bin green with o four please,place r with q one please
bin green in n three again,place red t s bin please
bin white at n zero please,place white by d bin soon
bin white in m four now,bin set at p one now
lay white by s two please,set white by p e please
lay blue with r two now,lay blue i y one again
bin white with a eight now,place white i s i again
lay green at m one again,set white i y i please
bin blue in r eight please,bin blue in r i please
place red with x six now,place white with v six now
bin red in f six please,place white by s six please
bin white at t three soon,bin white at u two soon
bin green at h two please,bin blue i c e please
bin white at a two please,bin white a z e please
place white at q zero now,place red at q one soon
set green at i seven soon,set green i c two soon
place blue with x one soon,i blue i s one now
place red in p two please,place white by p bin please
place red by p eight now,place r by p six now
place green with e seven soon,place green with p t soon
bin white with u one soon,bin white with u four soon
lay blue in q one soon,bin blue by u four soon
lay white in e seven again,lay white i s six please
lay green by m four please,set e i b one please
lay red at y five soon,set red i p one soon
place blue by v seven soon,place blue by f six soon
bin white with u zero now,e blue bin b one now
place blue at v three soon,place blue by y one soon
place blue by c seven again,place blue by c six please
set blue by u two please,set blue by z e please
bin blue with m seven again,bin blue t m e please
lay blue in x four now,lay blue at f e soon
set white with p three soon,set white y p four soon
bin blue by m three again,bin blue by b one please
set red at b two please,set red by p one soon
lay red by e seven soon,lay white by p six soon
bin green with o five again,place blue with p one please
set white with j one again,set green with y one please
bin green at a eight please,place bin i d i please
set white at b six now,set white with p six soon
set white by v three soon,set white by b four soon
lay red in y one soon,lay white i y one now
place red with q five again,place white i o one please
place red in c two now,place red by m one again
set red by o five again,set r by p one again
set white by c three again,set white by y t please
place green by k seven soon,place r by s six soon
lay white at l two now,lay white at z one again
