Truth,Decoded
lay red at e two now,a e i t i soon
set red with i two now,a e i t i soon
bin blue at l eight please,a e i t i soon
lay green in s zero please,a e i t i soon
place white in p nine again,a e i t i soon
lay red at k eight please,a e i t i soon
lay red by z one again,a e i t i soon
set green in o eight please,a e i t i soon
set green with p eight now,a e i t i soon
lay blue with k eight now,a e i t i soon
bin red in z six now,a e i t i soon
bin red in s five again,a e i t i soon
bin white by g eight now,a e i t i soon
set green with j four now,a e i t i soon
place white with r zero please,a e i t i soon
lay blue by y three soon,a e i t i soon
place green by e three soon,a e i t i soon
lay blue in x six please,a e i t i soon
lay red with l five soon,a e i t i soon
bin blue with m five soon,a e i t i soon
set green at v five soon,a e i t i soon
set white with p four please,a e i t i soon
bin green with b seven again,a e i t i soon
set green in v zero now,a e i t i soon
lay white at z three again,a e i t i soon
bin red at f nine soon,a e i t i soon
bin white with h two now,a e i t i soon
set blue by a eight now,a e i t i soon
lay white with s four now,a e i t i soon
set green with j six please,a e i t i soon
bin white at a one soon,a e i t i soon
lay green in z three soon,a e i t i soon
lay blue with y eight please,a e i t i soon
bin green at h one soon,a e i t i soon
place green by y four now,a e i t i soon
lay red in k four please,a e i t i soon
set blue at n five again,a e i t i soon
bin red at m two now,a e i t i soon
set red with b nine soon,a e i t i soon
place white at j eight please,a e i t i soon
lay blue with r four please,a e i t i soon
place blue in u nine soon,a e i t i soon
set red by b seven again,a e i t i soon
set white in u six please,a e i t i soon
place green by y six please,a e i t i soon
bin green by b two please,a e i t i soon
place green at k four please,a e i t i soon
lay blue in d four please,a e i t i soon
set blue by n nine again,a e i t i soon
set green with d one soon,a e i t i soon
